#name	name2
NR_036634	TGFBR3
NM_001195684	TGFBR3
NM_001195683	TGFBR3
NM_003243	TGFBR3
NM_001033581	PRKCZ
NM_002744	PRKCZ
NM_001033582	PRKCZ
NM_199454	PRDM16
NM_015215	CAMTA1
NM_022114	PRDM16
NM_001242874	PRKCZ
NM_001990	EYA3
NM_012090	MACF1
NM_153035	TCEANC2
NM_005595	NFIA
NM_001145512	NFIA
NM_001145511	NFIA
NM_001134673	NFIA
NM_002061	GCLM
NM_006608	PHTF1
NM_002585	PBX1
NM_001204961	PBX1
NM_001204963	PBX1
NM_005092	TNFSF18
NM_000963	PTGS2
NM_018664	BATF3
NM_001134285	ESRRG
NM_206595	ESRRG
NM_206594	ESRRG
NM_001243506	ESRRG
NM_001243505	ESRRG
NM_001243507	ESRRG
NM_001243509	ESRRG
NM_001243513	ESRRG
NM_001243512	ESRRG
NM_001243511	ESRRG
NM_001243510	ESRRG
NM_032752	ZNF496
NM_003036	SKI
NM_001242701	CAMTA1
NR_038934	CAMTA1
NM_001042681	RERE
NM_012102	RERE
NM_020248	CTNNBIP1
NM_014944	CLSTN1
NM_001012329	CTNNBIP1
NM_001009566	CLSTN1
NM_004565	PEX14
NM_004958	MTOR
NM_152942	TNFRSF8
NM_001243	TNFRSF8
NM_015001	SPEN
NM_013945	PAX7
NM_002584	PAX7
NM_001135254	PAX7
NM_044472	CDC42
NM_001039802	CDC42
NM_001791	CDC42
NM_005529	HSPG2
NM_003196	TCEA3
NM_004091	E2F2
NM_024674	LIN28A
NM_001135218	TAF12
NM_005644	TAF12
NM_004964	HDAC1
NM_145238	ZSCAN20
NM_178548	TFAP2E
NM_001172221	SCMH1
NM_012236	SCMH1
NM_001172222	SCMH1
NM_001031694	SCMH1
NM_001172220	SCMH1
NM_001172219	SCMH1
NM_001172218	SCMH1
NM_014947	FOXJ3
NM_001198852	FOXJ3
NM_024503	HIVEP3
NM_001198851	FOXJ3
NM_001198850	FOXJ3
NR_038261	HIVEP3
NR_038260	HIVEP3
NM_001127714	HIVEP3
NM_015269	ZCCHC11
NM_001009881	ZCCHC11
NM_003713	PPAP2B
NM_006252	PRKAA2
NM_017779	DEPDC1
NM_001114120	DEPDC1
NM_198718	PTGER3
NM_198717	PTGER3
NR_028294	PTGER3
NR_028293	PTGER3
NR_028292	PTGER3
NM_198716	PTGER3
NM_198714	PTGER3
NM_001126044	PTGER3
NM_018103	LRRC8D
NM_001134479	LRRC8D
NM_001164393	MTF2
NM_001164392	MTF2
NM_001164391	MTF2
NM_007358	MTF2
NM_001199834	VCAM1
NM_001078	VCAM1
NM_080682	VCAM1
NM_001081976	ADORA3
NM_002506	NGF
NM_005060	RORC
NM_001194937	POGZ
NM_145796	POGZ
NM_001194938	POGZ
NM_015100	POGZ
NM_207171	POGZ
NM_001001523	RORC
NM_020699	GATAD2B
NM_001206866	IL6R
NM_000565	IL6R
NM_020524	PBXIP1
NM_181359	IL6R
NM_001164757	NOS1AP
NM_014697	NOS1AP
NM_007348	ATF6
NM_006182	DDR2
NM_001014796	DDR2
NR_033824	RXRG
NM_177398	LMX1A
NM_001256570	RXRG
NM_001174069	LMX1A
NM_006917	RXRG
NM_001198786	POU2F1
NM_001198783	POU2F1
NM_002697	POU2F1
NR_037163	POU2F1
NM_003666	BLZF1
NM_006902	PRRX1
NM_022716	PRRX1
NM_020318	PAPPA2
NM_021936	PAPPA2
NM_033343	LHX4
NM_002293	LAMC1
NM_001357	DHX9
NR_033302	DHX9
NM_205860	NR5A2
NM_003822	NR5A2
NM_004433	ELF3
NM_001114309	ELF3
NM_006618	KDM5B
NM_005686	SOX13
NM_025179	PLXNA2
NM_001206696	IRF6
NM_006147	IRF6
NM_002763	PROX1
NM_016343	CENPF
NM_001438	ESRRG
NM_001243519	ESRRG
NM_001243518	ESRRG
NM_001243515	ESRRG
NM_001243514	ESRRG
NM_007207	DUSP10
NM_144729	DUSP10
NM_144728	DUSP10
NM_005426	TP53BP2
NM_001031685	TP53BP2
NM_033131	WNT3A
NM_001164549	DISC1
NM_001164548	DISC1
NM_001164547	DISC1
NM_001164546	DISC1
NM_001164545	DISC1
NM_001164544	DISC1
NM_001164542	DISC1
NM_001164541	DISC1
NM_018662	DISC1
NM_001012959	DISC1
NM_001012957	DISC1
NM_001164539	DISC1
NM_001164540	DISC1
NM_001164538	DISC1
NM_001164556	DISC1
NM_001164555	DISC1
NM_001164551	DISC1
NM_001164537	DISC1
NM_000740	CHRM3
NM_005465	AKT3
NM_001206729	AKT3
NM_181690	AKT3
NM_001243740	ZNF124
NM_015446	AHCTF1
NM_003431	ZNF124
NM_004895	NLRP3
NM_001127461	NLRP3
NM_183395	NLRP3
NM_001127462	NLRP3
NM_001243133	NLRP3
NM_001079821	NLRP3
NR_033908	LOC100288069
NM_015658	NOC2L
NM_001142467	HES4
NM_021170	HES4
NM_003327	TNFRSF4
NM_032348	MXRA8
NM_001080484	KIAA1751
NM_001010926	HES5
NM_001204188	TP73
NM_001204187	TP73
NM_001204186	TP73
NM_001204185	TP73
NM_001204184	TP73
NM_001126242	TP73
NM_001126241	TP73
NM_001126240	TP73
NM_001204192	TP73
NM_001204191	TP73
NM_001204190	TP73
NM_005427	TP73
NM_001204189	TP73
NM_001024598	HES3
NM_019089	HES2
NM_005341	ZBTB48
NM_001195563	CAMTA1
NM_006786	UTS2
NM_021995	UTS2
NM_001042682	RERE
NM_001428	ENO1
NM_001201483	ENO1
NM_007375	TARDBP
NM_001007257	PRDM2
NM_015866	PRDM2
NM_012231	PRDM2
NM_001135610	PRDM2
NM_017556	FBLIM1
NM_001024216	FBLIM1
NM_001024215	FBLIM1
NM_003443	ZBTB17
NM_001242884	ZBTB17
NM_003000	SDHB
NM_001009999	KDM1A
NM_015013	KDM1A
NM_030634	ZNF436
NM_001077195	ZNF436
NM_002167	ID3
NM_003198	TCEB3
NM_001199802	RPL11
NM_000975	RPL11
NM_021180	GRHL3
NM_001195010	GRHL3
NM_198174	GRHL3
NM_198173	GRHL3
NM_004350	RUNX3
NM_001031680	RUNX3
NM_021969	NR0B2
NM_003047	SLC9A1
NR_046474	SLC9A1
NM_024482	GMEB1
NM_006582	GMEB1
NM_000911	OPRD1
NM_014654	SDC3
NM_144569	SPOCD1
NM_005955	MTF1
NM_002699	POU3F1
NM_014571	HEYL
NM_005376	MYCL1
NM_001033082	MYCL1
NM_001033081	MYCL1
NM_023070	ZNF643
NM_001142587	NFYC
NM_001142589	NFYC
NM_001142588	NFYC
NM_014223	NFYC
NM_001142590	NFYC
NM_133467	CITED4
NM_004559	YBX1
NM_030587	B4GALT2
NM_003780	B4GALT2
NM_001005417	B4GALT2
NM_019100	DMAP1
NM_173484	KLF17
NM_001034024	DMAP1
NM_001034023	DMAP1
NM_001441	FAAH
NM_172225	DMBX1
NM_147192	DMBX1
NM_003189	TAL1
NM_004474	FOXD2
NM_012186	FOXE3
NM_032110	DMRTA2
NM_001136497	BTF3L4
NM_001243767	BTF3L4
NM_152265	BTF3L4
NM_033067	DMRTB1
NM_174936	PCSK9
NM_002228	JUN
NM_012183	FOXD3
NM_203350	ZRANB2
NM_198719	PTGER3
NM_198715	PTGER3
NM_005455	ZRANB2
NM_001256114	LHX8
NM_001001933	LHX8
NM_003902	FUBP1
NM_007034	DNAJB4
NM_003921	BCL10
NM_006769	LMO4
NM_001514	GTF2B
NM_020063	BARHL2
NM_016620	ZNF644
NM_201269	ZNF644
NM_032186	ZNF644
NM_001127216	GFI1
NM_001127215	GFI1
NM_005263	GFI1
NM_001938	DR1
NM_001178096	F3
NM_001993	F3
NM_152763	AKNAD1
NR_049760	AKNAD1
NM_005645	TAF13
NM_006492	ALX3
NM_004696	SLC16A4
NM_001201546	SLC16A4
NM_001201549	SLC16A4
NM_001201548	SLC16A4
NM_001201547	SLC16A4
NM_000677	ADORA3
NM_020683	ADORA3
NM_003051	SLC16A1
NM_001166496	SLC16A1
NM_001111061	NHLH2
NM_005599	NHLH2
NM_152380	TBX15
NM_006099	PIAS3
NM_006468	POLR3C
NM_000566	FCGR1A
NM_001197325	ARNT
NM_178427	ARNT
NM_001668	ARNT
NM_181746	CERS2
NM_012432	SETDB1
NM_001145415	SETDB1
NM_001243491	SETDB1
NM_022075	CERS2
NM_144618	GABPB2
NM_005997	VPS72
NM_001025603	RFX5
NM_000449	RFX5
NM_005547	IVL
NM_014624	S100A6
NM_000906	NPR1
NM_004515	ILF2
NM_130898	CREB3L4
NM_001255978	CREB3L4
NM_001255980	CREB3L4
NR_045658	CREB3L4
NM_001255979	CREB3L4
NM_181715	CRTC2
NM_001255981	CREB3L4
NM_001252406	ZBTB7B
NR_045515	ZBTB7B
NR_049765	ZBTB7B
NM_015872	ZBTB7B
NM_001256455	ZBTB7B
NR_046206	ZBTB7B
NM_001018017	MUC1
NM_002456	MUC1
NM_001204297	MUC1
NM_001204296	MUC1
NM_001204292	MUC1
NM_001204291	MUC1
NM_001204290	MUC1
NM_001204289	MUC1
NM_001204288	MUC1
NM_001204287	MUC1
NM_001204286	MUC1
NM_001204285	MUC1
NM_001204294	MUC1
NM_001018016	MUC1
NM_001204293	MUC1
NM_001044393	MUC1
NM_001044392	MUC1
NM_001044391	MUC1
NM_001044390	MUC1
NM_001204295	MUC1
NM_001162383	ARHGEF2
NM_001162384	ARHGEF2
NM_004723	ARHGEF2
NM_020131	UBQLN4
NM_001199654	PMF1
NM_001199653	PMF1
NM_007221	PMF1
NM_199173	BGLAP
NM_001256609	C1orf85
NM_001256608	C1orf85
NM_001256605	C1orf85
NM_001256604	C1orf85
NM_001004319	VHLL
NM_144580	C1orf85
NM_005920	MEF2D
NM_001012331	NTRK1
NM_002529	NTRK1
NM_001007792	NTRK1
NM_005240	ETV3
NM_001145312	ETV3
NM_001004341	ETV3L
NM_000567	CRP
NM_144699	ATP1A4
NM_001001734	ATP1A4
NM_207005	USF1
NM_007122	USF1
NM_001077482	NR1I3
NM_005122	NR1I3
NM_001077476	NR1I3
NM_001077475	NR1I3
NM_001039711	DEDD
NM_001077469	NR1I3
NM_001077474	NR1I3
NM_001077473	NR1I3
NM_001039712	DEDD
NM_001077472	NR1I3
NM_001077471	NR1I3
NM_001077470	NR1I3
NM_032998	DEDD
NM_001077481	NR1I3
NM_001077479	NR1I3
NM_001077480	NR1I3
NM_001077478	NR1I3
NM_001077477	NR1I3
NM_001126060	NOS1AP
NM_016371	HSD17B7
NM_001256571	RXRG
NM_005814	GPA33
NM_003851	CREG1
NM_005149	TBX19
NM_002995	XCL1
NM_003005	SELP
NM_006894	FMO3
NM_001002294	FMO3
NM_000261	MYOC
NM_003326	TNFSF4
NM_014625	NPHS2
NM_007212	RNF2
NM_006469	IVNS1ABP
NM_001014434	LHX9
NM_020204	LHX9
NM_012482	ZNF281
NM_002479	MYOG
NM_006763	BTG2
NM_001204172	MDM4
NR_024171	MDM4
NM_002393	MDM4
NM_001204171	MDM4
NM_001973	ELK4
NM_021795	ELK4
NM_000572	IL10
NM_153758	IL19
NM_013371	IL19
NM_001773	CD34
NM_001025109	CD34
NM_004619	TRAF5
NM_001033910	TRAF5
NM_145759	TRAF5
NM_001206488	ATF3
NM_001206486	ATF3
NM_001206484	ATF3
NM_001040619	ATF3
NM_001674	ATF3
NM_001030287	ATF3
NM_003238	TGFB2
NM_001135599	TGFB2
NM_021958	HLX
NM_139352	TAF1A
NM_005681	TAF1A
NM_001201536	TAF1A
NM_031944	MIXL1
NM_001618	PARP1
NM_012486	PSEN2
NM_000447	PSEN2
NM_014409	TAF5L
NM_001025247	TAF5L
NM_000029	AGT
NM_022051	EGLN1
NM_005999	TSNAX
NM_001164550	DISC1
NM_001012958	DISC1
NM_001164554	DISC1
NM_001164553	DISC1
NM_001164552	DISC1
NM_001077397	IRF2BP2
NM_182972	IRF2BP2
NM_205768	ZNF238
NM_006352	ZNF238
NM_022366	TFB2M
NM_017865	ZNF692
NM_001193328	ZNF692
NM_001136036	ZNF692
NM_015025	MYT1L
NM_003385	VSNL1
NM_181446	FSHR
NM_005400	PRKCE
NM_000145	FSHR
NM_032827	ATOH8
NM_005270	GLI2
NM_016653	ZAK
NM_133646	ZAK
NM_003690	PRKRA
NM_001139518	PRKRA
NM_001139517	PRKRA
NM_015265	SATB2
NM_001172517	SATB2
NM_001172509	SATB2
NM_001042599	ERBB4
NM_005235	ERBB4
NM_004438	EPHA4
NM_004238	TRIP12
NM_006037	HDAC4
NM_198182	GRHL1
NM_003743	NCOA1
NM_147223	NCOA1
NM_147233	NCOA1
NM_004304	ALK
NM_003162	STRN
NM_020744	MTA3
NM_001430	EPAS1
NM_172311	STON1-GTF2A1L
NM_001193487	GTF2A1L
NM_006872	GTF2A1L
NM_001198594	STON1-GTF2A1L
NM_001198593	STON1-GTF2A1L
