Gene Id	Gene Symbol	Entrez ID	Chromosome	Transcription Start	Transcription End
uc001aiq.3	PRKCZ	5590	chr1	1981908	2116834
uc001air.3	PRKCZ	5590	chr1	2005085	2116834
uc010nyw.2	PRKCZ	5590	chr1	2005424	2116834
uc001ais.3	PRKCZ	5590	chr1	2036154	2116834
uc010nyx.2	PRKCZ	5590	chr1	2076795	2116834
uc001ait.3	PRKCZ	5590	chr1	2100286	2116834
uc009vlb.3	PRKCZ	5590	chr1	2076795	2088167
uc001aja.4	SKI	6497	chr1	2160133	2241652
uc001akp.3	TP73	7161	chr1	3569128	3652765
uc021ofc.1	TP73	7161	chr1	3569128	3652765
uc021ofd.1	TP73	7161	chr1	3569128	3652765
uc001akr.3	TP73	7161	chr1	3607235	3652765
uc021ofe.1	TP73	7161	chr1	3569128	3652765
uc021off.1	TP73	7161	chr1	3569128	3652765
uc010nzk.2	TP73	7161	chr1	3614609	3652765
uc009vlk.2	TP73	7161	chr1	3607235	3652765
uc001aks.3	TP73	7161	chr1	3607235	3652765
uc021ofb.1	TP73	7161	chr1	3569128	3652765
uc021ofg.1	TP73	7161	chr1	3607235	3652765
uc021ofh.1	TP73	7161	chr1	3607235	3652765
uc021ofi.1	TP73	7161	chr1	3607235	3652765
uc010nzj.2	TP73	7161	chr1	3607235	3646315
uc010nzl.2	TP73	7161	chr1	3644041	3652765
uc009vll.3	TP73	7161	chr1	3614609	3625098
uc009vly.2	HES3	390992	chr1	6304251	6305638
uc001anx.3	ZBTB48	3104	chr1	6640062	6649340
uc009vmd.2	ZBTB48	3104	chr1	6640068	6649340
uc009vmc.2	ZBTB48	3104	chr1	6640055	6649340
uc001any.2	ZBTB48	3104	chr1	6645361	6649340
uc001arn.3	PEX14	5195	chr1	10535002	10690815
uc009vmv.3	PEX14	5195	chr1	10535002	10690815
uc010oam.2	PEX14	5195	chr1	10535002	10690815
uc010oan.2	PEX14	5195	chr1	10535002	10690815
uc009vmw.3	PEX14	5195	chr1	10588311	10690815
uc009vmu.1	PEX14	5195	chr1	10535002	10683924
uc001arm.1	PEX14	5195	chr1	10535002	10638484
uc001arl.3	PEX14	5195	chr1	10535002	10580067
uc001art.3	TARDBP	23435	chr1	11072678	11085549
uc010oap.2	TARDBP	23435	chr1	11072678	11085549
uc001atq.3	TNFRSF8	943	chr1	12123433	12204264
uc001atr.3	TNFRSF8	943	chr1	12185957	12204264
uc010obc.2	TNFRSF8	943	chr1	12123433	12204264
uc001ats.3	TNFRSF8	943	chr1	12185957	12204264
uc001avi.3	PRDM2	7799	chr1	14031349	14151574
uc001avh.3	PRDM2	7799	chr1	14031349	14114574
uc001avg.3	PRDM2	7799	chr1	14026734	14151574
uc009voe.3	PRDM2	7799	chr1	14075855	14151574
uc009vof.3	PRDM2	7799	chr1	14075855	14151574
uc021ogk.1	PRDM2	7799	chr1	14075855	14107358
uc001avk.3	PRDM2	7799	chr1	14075855	14114574
uc001axk.1	SPEN	23013	chr1	16174358	16266950
uc010obp.1	SPEN	23013	chr1	16200609	16266950
uc010oct.2	PAX7	5081	chr1	18957499	19075360
uc001bay.3	PAX7	5081	chr1	18957499	19062632
uc001baz.3	PAX7	5081	chr1	18957499	19062632
uc001bgj.2	KDM1A	23028	chr1	23345940	23410184
uc001bgi.2	KDM1A	23028	chr1	23345940	23410184
uc021oiw.1	GRHL3	57822	chr1	24645811	24690970
uc001bix.3	GRHL3	57822	chr1	24645811	24681808
uc021oix.1	GRHL3	57822	chr1	24646055	24681808
uc001biy.3	GRHL3	57822	chr1	24649529	24681808
uc001biz.3	GRHL3	57822	chr1	24649529	24681808
uc001bqz.3	GMEB1	10691	chr1	28995239	29042115
uc001bra.3	GMEB1	10691	chr1	28995239	29042115
uc001brb.3	GMEB1	10691	chr1	28995239	29042115
uc001bvb.1	HDAC1	3065	chr1	32757707	32799224
uc010ohf.1	HDAC1	3065	chr1	32757992	32799224
uc001bvc.1	HDAC1	3065	chr1	32795080	32799224
uc010ohd.1	HDAC1	3065	chr1	32757707	32793590
uc010ohe.1	HDAC1	3065	chr1	32757707	32793590
uc001bxj.4	ZSCAN20	7579	chr1	33938231	33961995
uc009vui.3	ZSCAN20	7579	chr1	33938251	33961995
uc001bxk.2	ZSCAN20	7579	chr1	33938251	33958212
uc010ohy.2	TFAP2E	339488	chr1	36038970	36060927
uc001cfn.2	ZNF643	65243	chr1	40916336	40929390
uc001cfl.2	ZNF643	65243	chr1	40915773	40929390
uc001cfm.2	ZNF643	65243	chr1	40915773	40929390
uc001cgc.3	NFYC	4802	chr1	41157679	41237275
uc001cfx.4	NFYC	4802	chr1	41157241	41237275
uc009vwd.3	NFYC	4802	chr1	41157241	41237275
uc001cfz.3	NFYC	4802	chr1	41157241	41237275
uc010ojn.2	NFYC	4802	chr1	41157241	41237275
uc001cge.3	NFYC	4802	chr1	41204507	41237276
uc001cfy.4	NFYC	4802	chr1	41157241	41237275
uc001cgb.3	NFYC	4802	chr1	41175037	41237276
uc010ojm.1	NFYC	4802	chr1	41157241	41232915
uc001chs.3	YBX1	4904	chr1	43148065	43168020
uc001clp.3	KLF17	128209	chr1	44584521	44600809
uc009vxf.1	KLF17	128209	chr1	44514029	44595868
uc001clq.1	DMAP1	55929	chr1	44679124	44686351
uc001clr.1	DMAP1	55929	chr1	44679124	44686351
uc001cls.1	DMAP1	55929	chr1	44679124	44686351
uc010oku.1	DMAP1	55929	chr1	44679124	44686351
uc010okt.1	DMAP1	55929	chr1	44679124	44684427
uc010okq.1	DMAP1	55929	chr1	44679124	44681197
uc010okr.1	DMAP1	55929	chr1	44679124	44681197
uc010oks.1	DMAP1	55929	chr1	44679124	44681440
uc001cpx.3	DMBX1	127343	chr1	46972667	46979886
uc001cpw.3	DMBX1	127343	chr1	46972667	46979886
uc001crk.3	FOXE3	2301	chr1	47881743	47883724
uc001crm.3	FOXD2	2306	chr1	47901688	47906363
uc010oos.2	NFIA	4774	chr1	61547533	61928460
uc001czw.3	NFIA	4774	chr1	61547979	61928460
uc001czy.3	NFIA	4774	chr1	61542945	61928460
uc001czv.3	NFIA	4774	chr1	61547979	61928460
uc001czx.3	NFIA	4774	chr1	61869747	61928460
uc009wae.3	NFIA	4774	chr1	61872233	61928460
uc001dax.2	FOXD3	27022	chr1	63788729	63790797
uc001dgo.3	LHX8	431707	chr1	75594118	75627218
uc001dgq.3	LHX8	431707	chr1	75600566	75627218
uc021oou.1	LHX8	431707	chr1	75595910	75609647
uc001dmi.3	LMO4	8543	chr1	87794150	87814607
uc001dmj.3	LMO4	8543	chr1	87797350	87814607
uc001dpu.3	DR1	1810	chr1	93811477	93828148
uc001fdm.1	CREB3L4	148327	chr1	153940396	153946832
uc001fdn.3	CREB3L4	148327	chr1	153940378	153946832
uc001fdr.2	CREB3L4	148327	chr1	153940712	153946832
uc010pef.1	CREB3L4	148327	chr1	153940378	153946832
uc001fdo.3	CREB3L4	148327	chr1	153940378	153946832
uc001fdq.2	CREB3L4	148327	chr1	153940712	153946832
uc010peg.1	CREB3L4	148327	chr1	153940712	153942219
uc001fez.2	IL6R	3570	chr1	154377668	154441926
uc001ffa.2	IL6R	3570	chr1	154377668	154441926
uc021paf.1	IL6R	3570	chr1	154377668	154410561
uc001fnr.3	PMF1	11243	chr1	156182778	156209868
uc001fnq.3	PMF1	11243	chr1	156182778	156209868
uc021pba.1	PMF1	11243	chr1	156182778	156209868
uc009wru.2	PMF1	11243	chr1	156182778	156203519
uc001fqh.1	NTRK1	4914	chr1	156830670	156851642
uc001fqi.1	NTRK1	4914	chr1	156830670	156851642
uc001fqf.1	NTRK1	4914	chr1	156785541	156851642
uc009wsk.1	NTRK1	4914	chr1	156830670	156851642
uc009wsi.1	NTRK1	4914	chr1	156785541	156851642
uc001gbs.3	ATF6	22926	chr1	161736033	161933860
uc001gbq.2	ATF6	22926	chr1	161736033	161835745
uc001gcf.3	DDR2	4921	chr1	162602227	162750247
uc001gcg.3	DDR2	4921	chr1	162602227	162750247
uc001gct.3	PBX1	5087	chr1	164528596	164821060
uc010pku.2	PBX1	5087	chr1	164528596	164821060
uc001gcs.3	PBX1	5087	chr1	164528596	164821060
uc010pkv.2	PBX1	5087	chr1	164528596	164821060
uc010pkw.1	PBX1	5087	chr1	164558765	164854300
uc001gec.3	POU2F1	5451	chr1	167190065	167396582
uc001gee.3	POU2F1	5451	chr1	167190065	167396582
uc001gef.3	POU2F1	5451	chr1	167298280	167396582
uc010plh.2	POU2F1	5451	chr1	167190065	167396582
uc001ged.3	POU2F1	5451	chr1	167190065	167396582
uc001geg.3	POU2F1	5451	chr1	167341153	167385359
uc010plg.2	POU2F1	5451	chr1	167190065	167365664
uc009wvg.1	POU2F1	5451	chr1	167368422	167381541
uc001gfl.3	TBX19	9095	chr1	168250277	168283664
uc001gfj.4	TBX19	9095	chr1	168195254	168283664
uc001gfm.3	TBX19	9095	chr1	168266861	168283664
uc001gfo.2	XCL1	6375	chr1	168545710	168551315
uc001gfy.3	BLZF1	8548	chr1	169337193	169365780
uc001gfx.2	BLZF1	8548	chr1	169337193	169357539
uc009wvp.1	BLZF1	8548	chr1	169345777	169356447
uc001gfw.3	BLZF1	8548	chr1	169337193	169346621
uc001ghe.3	PRRX1	5396	chr1	170633312	170708541
uc001ghf.3	PRRX1	5396	chr1	170633312	170708541
uc001goe.2	LHX4	89884	chr1	180199432	180244188
uc001gps.3	DHX9	1660	chr1	182808438	182857117
uc001gpr.3	DHX9	1660	chr1	182808438	182857117
uc001gpt.3	DHX9	1660	chr1	182846552	182857117
uc009wyd.3	DHX9	1660	chr1	182850398	182857117
uc001gui.1	LHX9	56956	chr1	197881634	197899273
uc001guk.1	LHX9	56956	chr1	197886516	197899273
uc021pgw.1	LHX9	56956	chr1	197896720	197901715
uc009wzc.1	LHX9	56956	chr1	197881634	197887127
uc001gvb.3	NR5A2	2494	chr1	199996769	200146550
uc001gvc.3	NR5A2	2494	chr1	199996769	200146550
uc009wzh.3	NR5A2	2494	chr1	200008657	200146550
uc010pph.2	NR5A2	2494	chr1	200011716	200146550
uc009wzg.1	NR5A2	2494	chr1	199996769	200008923
uc001gxi.4	ELF3	1999	chr1	201979689	201986315
uc001gxh.4	ELF3	1999	chr1	201979689	201986315
uc001gxg.4	ELF3	1999	chr1	201977072	201986315
uc001gzq.3	BTG2	7832	chr1	203274663	203278729
uc001ham.3	SOX13	9580	chr1	204042245	204096871
uc010pqp.2	SOX13	9580	chr1	204082042	204096871
uc010pqq.2	SOX13	9580	chr1	204085192	204096871
uc001hal.3	SOX13	9580	chr1	204042245	204088974
uc001hii.3	TRAF5	7188	chr1	211500147	211548286
uc001hij.3	TRAF5	7188	chr1	211519705	211548286
uc001hih.3	TRAF5	7188	chr1	211499956	211548286
uc010psx.2	TRAF5	7188	chr1	211500147	211548286
uc010psy.2	TRAF5	7188	chr1	211500147	211548286
uc021pit.1	ATF3	467	chr1	212781969	212794119
uc001hjh.3	ATF3	467	chr1	212781969	212794119
uc021piu.1	ATF3	467	chr1	212781969	212794119
uc001hji.3	ATF3	467	chr1	212781969	212794119
uc021piv.1	ATF3	467	chr1	212788359	212794119
uc001hjf.3	ATF3	467	chr1	212738675	212794119
uc001hjj.3	ATF3	467	chr1	212781969	212792589
uc001hkh.3	PROX1	5629	chr1	214161859	214209762
uc001hkg.1	PROX1	5629	chr1	214161285	214171603
uc001hkm.3	CENPF	1063	chr1	214776531	214837914
uc010pvm.2	MIXL1	83881	chr1	226411382	226413513
uc001hrq.2	WNT3A	89780	chr1	228194722	228248972
uc001hrp.2	WNT3A	89780	chr1	228194722	228248168
uc001iad.4	ZNF238	10472	chr1	244214560	244220778
uc001iae.3	ZNF238	10472	chr1	244216581	244220778
uc001icr.3	NLRP3	114548	chr1	247579457	247612406
uc001icu.3	NLRP3	114548	chr1	247581354	247612406
uc001icw.3	NLRP3	114548	chr1	247581354	247612406
uc001ics.3	NLRP3	114548	chr1	247579457	247612406
uc001icv.3	NLRP3	114548	chr1	247581354	247612406
uc010pyw.2	NLRP3	114548	chr1	247581354	247612406
uc001ict.1	NLRP3	114548	chr1	247581354	247589094
uc001abz.4	NOC2L	26155	chr1	879582	894679
uc009vjq.3	NOC2L	26155	chr1	879582	894679
uc001aby.4	NOC2L	26155	chr1	879582	893918
uc009vjr.2	NOC2L	26155	chr1	893648	894679
uc001aci.2	HES4	57801	chr1	934341	935552
uc010nyc.1	HES4	57801	chr1	934341	935552
uc001ade.3	TNFRSF4	7293	chr1	1146705	1149548
uc001adf.3	TNFRSF4	7293	chr1	1146719	1149548
uc001ajn.3	HES5	388585	chr1	2460183	2461684
uc001amx.3	HES2	54626	chr1	6475293	6479979
uc001amw.3	HES2	54626	chr1	6472497	6484730
uc001ape.3	RERE	473	chr1	8412463	8877699
uc001apf.3	RERE	473	chr1	8412463	8877699
uc001apd.3	RERE	473	chr1	8412463	8483747
uc010nzx.1	RERE	473	chr1	8420171	8585844
uc001aph.1	RERE	473	chr1	8525029	8813897
uc001apj.2	ENO1	2023	chr1	8921058	8939151
uc001api.2	ENO1	2023	chr1	8921058	8931635
uc009vml.2	ENO1	2023	chr1	8923172	8939151
uc009vmm.2	ENO1	2023	chr1	8931005	8939151
uc001aqk.1	CTNNBIP1	56998	chr1	9908333	9970316
uc001aql.1	CTNNBIP1	56998	chr1	9908333	9970316
uc001asd.3	MTOR	2475	chr1	11166587	11322608
uc001asc.3	MTOR	2475	chr1	11166587	11191615
uc001axl.4	ZBTB17	7709	chr1	16268363	16302627
uc010obq.2	ZBTB17	7709	chr1	16268363	16302627
uc010obr.2	ZBTB17	7709	chr1	16268363	16302627
uc010obs.2	ZBTB17	7709	chr1	16268363	16302627
uc010obt.1	ZBTB17	7709	chr1	16270321	16302627
uc010obu.2	ZBTB17	7709	chr1	16270364	16302627
uc009vom.1	ZBTB17	7709	chr1	16271431	16302627
uc010obv.1	ZBTB17	7709	chr1	16272256	16302627
uc009von.1	ZBTB17	7709	chr1	16274237	16302627
uc001bhe.2	E2F2	1870	chr1	23832919	23857712
uc001bhh.4	ID3	3399	chr1	23884420	23886285
uc001bjr.3	RUNX3	864	chr1	25226001	25291501
uc001bjq.3	RUNX3	864	chr1	25226001	25256770
uc009vrj.3	RUNX3	864	chr1	25226001	25291475
uc010oen.2	RUNX3	864	chr1	25226001	25256770
uc009vrl.1	RUNX3	864	chr1	25256077	25291612
uc009vrk.3	RUNX3	864	chr1	25255175	25291501
uc001bnf.3	NR0B2	8431	chr1	27237974	27240567
uc001bnm.3	SLC9A1	6548	chr1	27425299	27481451
uc010ofk.2	SLC9A1	6548	chr1	27425299	27481451
uc001bnl.3	SLC9A1	6548	chr1	27425299	27430513
uc001bnn.2	SLC9A1	6548	chr1	27431941	27481451
uc001bpi.2	EYA3	2140	chr1	28296854	28415148
uc010ofs.2	EYA3	2140	chr1	28296854	28415148
uc010oft.2	EYA3	2140	chr1	28296854	28415148
uc001bpj.3	EYA3	2140	chr1	28303783	28415148
uc001bpk.2	EYA3	2140	chr1	28314993	28415148
uc010ofu.2	EYA3	2140	chr1	28315045	28415148
uc001bqx.3	TAF12	6883	chr1	28929608	28969604
uc001bqy.3	TAF12	6883	chr1	28929608	28969604
uc009vti.2	TAF12	6883	chr1	28931450	28969604
uc001cce.1	MTF1	4520	chr1	38275238	38325292
uc009vvj.1	MTF1	4520	chr1	38287792	38325292
uc001ccp.1	POU3F1	5453	chr1	38509522	38512450
uc001cdp.3	HEYL	26508	chr1	40089102	40105348
uc010oiw.2	HEYL	26508	chr1	40089102	40098672
uc001cer.2	MYCL1	4610	chr1	40361095	40367687
uc001ces.2	MYCL1	4610	chr1	40361095	40367687
uc001cet.2	MYCL1	4610	chr1	40365283	40367687
uc001cgr.3	SCMH1	22955	chr1	41492870	41707815
uc001cgo.3	SCMH1	22955	chr1	41492870	41627104
uc001cgq.3	SCMH1	22955	chr1	41492870	41707815
uc001cgs.3	SCMH1	22955	chr1	41492870	41707815
uc001cgp.3	SCMH1	22955	chr1	41492870	41628689
uc001cgt.3	SCMH1	22955	chr1	41492870	41707815
uc010ojr.2	SCMH1	22955	chr1	41492870	41625605
uc010ojs.1	SCMH1	22955	chr1	41494255	41625605
uc001che.3	FOXJ3	22887	chr1	42642209	42800636
uc001chf.3	FOXJ3	22887	chr1	42642209	42800903
uc001chg.3	FOXJ3	22887	chr1	42642209	42801548
uc001chh.2	FOXJ3	22887	chr1	42642209	42800903
uc001cqx.2	TAL1	6886	chr1	47681962	47695443
uc001cqy.2	TAL1	6886	chr1	47681962	47697387
uc009vyq.2	TAL1	6886	chr1	47681962	47689770
uc001cra.1	TAL1	6886	chr1	47689675	47697892
uc001cqz.1	TAL1	6886	chr1	47689675	47697892
uc001cty.2	ZCCHC11	23318	chr1	52888947	53018762
uc001ctx.2	ZCCHC11	23318	chr1	52888947	53018762
uc009vze.1	ZCCHC11	23318	chr1	52903891	53018772
uc009vzf.1	ZCCHC11	23318	chr1	52911936	53019130
uc001cub.3	ZCCHC11	23318	chr1	52927865	52992045
uc001cuc.2	ZCCHC11	23318	chr1	52943379	53018762
uc001cud.3	ZCCHC11	23318	chr1	52980465	53018762
uc001cyj.2	PPAP2B	8613	chr1	56960418	57045257
uc001cze.3	JUN	3725	chr1	59246462	59249785
uc001dfg.1	PTGER3	5733	chr1	71318035	71513491
uc001dfh.1	PTGER3	5733	chr1	71318035	71513491
uc009wbo.3	PTGER3	5733	chr1	71418114	71513491
uc001dfi.1	PTGER3	5733	chr1	71318035	71513491
uc001dfk.1	PTGER3	5733	chr1	71318035	71513491
uc001dfj.1	PTGER3	5733	chr1	71318035	71513491
uc001dfo.3	PTGER3	5733	chr1	71418114	71513491
uc001dfp.1	PTGER3	5733	chr1	71436463	71513491
uc001dfl.1	PTGER3	5733	chr1	71318035	71513491
uc001dfq.3	PTGER3	5733	chr1	71471536	71513491
uc001dfm.1	PTGER3	5733	chr1	71349400	71513491
uc001dfn.3	PTGER3	5733	chr1	71349438	71513491
uc009wbn.2	PTGER3	5733	chr1	71349438	71513491
uc009wbm.1	PTGER3	5733	chr1	71327987	71513491
uc001dfs.3	ZRANB2	9406	chr1	71528973	71546972
uc001dft.3	ZRANB2	9406	chr1	71528973	71546972
uc001dii.3	FUBP1	8880	chr1	78413590	78444777
uc010orm.2	FUBP1	8880	chr1	78413590	78444777
uc001dih.4	FUBP1	8880	chr1	78412166	78444777
uc021opd.1	BCL10	8915	chr1	85731459	85742587
uc001dmo.4	GTF2B	2959	chr1	89318320	89357301
uc009wcw.1	GTF2B	2959	chr1	89325822	89357301
uc001dns.3	BARHL2	343472	chr1	91177578	91182794
uc001dou.4	GFI1	2672	chr1	92940317	92949356
uc001dow.4	GFI1	2672	chr1	92940317	92952433
uc001dov.4	GFI1	2672	chr1	92940317	92951628
uc001dwm.1	TAF13	6884	chr1	109606997	109618624
uc001dzb.3	ALX3	257	chr1	110602996	110613322
uc009wgp.1	PHTF1	10745	chr1	114239823	114301777
uc001edn.3	PHTF1	10745	chr1	114246446	114302098
uc001edm.2	PHTF1	10745	chr1	114239823	114257834
uc001edo.1	PHTF1	10745	chr1	114248388	114256060
uc001efu.1	NGF	4803	chr1	115828536	115880857
uc001efy.3	NHLH2	4808	chr1	116378998	116383747
uc009wgz.3	NHLH2	4808	chr1	116378998	116383333
uc001ehl.1	TBX15	6913	chr1	119425665	119532179
uc009whj.1	TBX15	6913	chr1	119425665	119441748
